SQLDATE,DATEADDED,MonthYear,Year,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,AvgTone,NumMentions,NumSources,NumArticles,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,event_date,event_month,event_quarter,event_root_label,tone_category,stability_category,propagation_delay_days,source_domain,is_crisis_period,benin_role,actor1_type_label,actor2_type_label,quad_class_label
2025-12-08,2025-12-08,202512,2025,REBEL,,REB,,,,1,192,192,19,4,-9.5,-2.36559139784947,2,1,2,Benin,BN,9.5,2.25,https://naija247news.com/nigerian-troops-deployed-to-benin-republic-after-foiled-coup-attempt/,2025-12-08,12,2025Q4,Violence de masse,Négatif,Déstabilisant,0,naija247news.com,True,Contexte,Rebelle / Insurgé,Non identifié,Conflit matériel
2025-12-08,2025-12-08,202512,2025,ECOWAS,WAF,IGO,,,,0,090,090,09,2,-2.0,-8.44907407407409,10,1,10,Benin,BN,9.5,2.25,https://hallmarknews.com/the-foiled-coup-in-benin-republic-timeline-tensions-and-regional-echoes/,2025-12-08,12,2025Q4,Sanctions économiques,Négatif,Neutre,0,hallmarknews.com,True,Contexte,Organisation internationale,Non identifié,Coopération matérielle
2025-12-08,2025-12-08,202512,2025,FRENCH,FRA,CVL,,,,1,0332,033,03,1,5.2,-4.52488687782805,2,1,2,Benin,BN,9.5,2.25,https://www.franceinfo.fr/monde/afrique/benin/la-france-condamne-la-tentative-de-coup-d-etat-au-benin-et-appelle-ses-ressortissants-a-la-plus-grande-prudence_7665400.html,2025-12-08,12,2025Q4,Expression d'intention,Négatif,Stabilisant,0,franceinfo.fr,False,Contexte,Civil / Population,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,MILITARY FORCE,,MIL,,,,1,072,072,07,2,8.3,-3.27868852459016,10,1,10,Benin,BN,9.5,2.25,https://dialogos.com.cy/apotrapike-apopeira-praxikopimatos-sto-mpenin-i-katastasi-einai-ypo-elegcho-dilonei-o-proedros/,2025-12-08,12,2025Q4,Aide matérielle,Négatif,Stabilisant,0,dialogos.com.cy,False,Contexte,Militaire,Non identifié,Coopération matérielle
2025-12-08,2025-12-08,202512,2025,AFRICA,AFR,,,,,0,111,111,11,3,-2.0,-3.39805825242718,10,1,10,Benin,BN,9.5,2.25,https://allafrica.com/stories/202512080101.html,2025-12-08,12,2025Q4,Désapprobation,Négatif,Neutre,0,allafrica.com,False,Contexte,Non identifié,Non identifié,Conflit verbal
2025-12-08,2025-12-08,202512,2025,VLADIMIR,RUS,,,,,1,010,010,01,1,0.0,-4.06779661016949,4,1,4,Benin,BN,9.5,2.25,https://www.myjoyonline.com/prof-antwi-danso-cautions-ecowas-against-rushed-troop-deployment-to-benin/,2025-12-08,12,2025Q4,Déclaration publique,Négatif,Neutre,0,myjoyonline.com,False,Contexte,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,VLADIMIR,RUS,,,,,1,020,020,02,1,3.0,-4.06779661016949,3,1,3,Benin,BN,9.5,2.25,https://www.myjoyonline.com/prof-antwi-danso-cautions-ecowas-against-rushed-troop-deployment-to-benin/,2025-12-08,12,2025Q4,Appel / Demande,Négatif,Neutre,0,myjoyonline.com,False,Contexte,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,,,,,1,013,013,01,1,0.4,-9.1089108910891,4,1,4,Benin,BN,9.5,2.25,https://punchng.com/west-african-democracy-declining-says-analyst-after-foiled-benin-coup/,2025-12-08,12,2025Q4,Déclaration publique,Négatif,Neutre,0,punchng.com,True,Acteur,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,,,,,0,051,051,05,1,3.4,-1.7743979721166,1,1,1,France,FR,46.0,2.0,https://www.spacewar.com/afp/251208052920.msxd4x83.html,2025-12-08,12,2025Q4,Engagement / Soutien,Neutre,Stabilisant,0,spacewar.com,False,Acteur,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,GOVERNMENT,,GOV,,,,0,030,030,03,1,4.0,-9.1089108910891,10,1,10,Benin,BN,9.5,2.25,https://punchng.com/west-african-democracy-declining-says-analyst-after-foiled-benin-coup/,2025-12-08,12,2025Q4,Expression d'intention,Négatif,Stabilisant,0,punchng.com,True,Contexte,Gouvernement,Non identifié,Coopération verbale
